Gamma, tau, time_master_BA, time_subproblem_BA, time_master_KC, time_subproblem_KC, time_master_KCU, time_subproblem_KCU, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCHOG, time_subproblem_KCHOG
1,100,0.004549,0.000349,0.001783,0.000155,0.003096,0.000201,0.001446,0.000303,0.001277,0.000559
1,100,0.002325,0.000186,0.003141,0.000155,0.003474,0.000349,0.00157,0.000245,0.001431,0.00046
1,100,0.002212,9.7e-05,0.00295,0.000173,0.001237,9.1e-05,0.003291,0.000584,0.001293,0.00046
1,100,0.002246,9.5e-05,0.001485,0.000144,0.001113,0.00012,0.001109,0.000248,0.003095,0.000619
11,0,0.004461,0.002222,0.008356,0.003478,0.002728,0.001411,0.003486,0.005051,0.002577,0.01495
11,0,0.005523,0.002818,0.010187,0.001549,0.002186,0.001526,0.002388,0.00526,0.002904,0.01656
11,0,0.002382,0.002758,0.01142,0.001669,0.005228,0.001958,0.002942,0.004828,0.004127,0.018432
11,0,0.002225,0.001879,0.010679,0.001666,0.003637,0.002377,0.002331,0.002832,0.003742,0.019683
11,0,0.002557,0.001507,0.006644,0.002328,0.004358,0.003656,0.004226,0.003312,0.002379,0.019606
11,0,0.002468,0.001753,0.008183,0.002513,0.002145,0.001331,0.003888,0.003858,0.004346,0.013096
11,0,0.001952,0.002941,0.010324,0.001563,0.004393,0.002254,0.002127,0.00287,0.002659,0.02026
11,0,0.002272,0.001453,0.006914,0.00159,0.002275,0.003127,0.003986,0.005568,0.00233,0.016395
11,0,0.005775,0.003627,0.009331,0.001551,0.002177,0.001502,0.003929,0.006246,0.00579,0.012842
11,0,0.001885,0.003074,0.010348,0.001529,0.004464,0.001985,0.002233,0.00272,0.002626,0.019826
11,20,0.0028,0.001874,0.006285,0.001802,0.004807,0.003486,0.004336,0.003154,0.002276,0.016877
11,20,0.004115,0.00351,0.008154,0.003583,0.002425,0.00148,0.002457,0.004894,0.003077,0.015191
11,20,0.005246,0.002871,0.009097,0.001635,0.00243,0.001398,0.00271,0.005282,0.0047,0.015018
11,20,0.002,0.001446,0.006313,0.002596,0.003728,0.002112,0.00368,0.003156,0.002448,0.018229
11,20,0.003486,0.002276,0.007232,0.002366,0.002284,0.001399,0.005432,0.004183,0.005451,0.012965
11,20,0.003222,0.002167,0.010299,0.001649,0.004355,0.001799,0.002308,0.002817,0.003878,0.018795
11,20,0.001873,0.001607,0.007278,0.001724,0.002427,0.00357,0.0035,0.005943,0.002345,0.016476
11,20,0.003981,0.003329,0.009593,0.001568,0.002217,0.001406,0.00271,0.006503,0.005651,0.014139
11,20,0.002042,0.002369,0.01006,0.001768,0.004254,0.002193,0.002537,0.002862,0.003546,0.024007
11,20,0.002178,0.001807,0.011305,0.001604,0.004681,0.002603,0.002263,0.002731,0.004434,0.020454
11,40,0.002229,0.001524,0.006513,0.003148,0.005336,0.001839,0.003307,0.003205,0.002258,0.018836
11,40,0.002592,0.00151,0.008244,0.003291,0.002084,0.001622,0.005192,0.003244,0.003232,0.014261
11,40,0.004696,0.00385,0.010531,0.001662,0.002578,0.001376,0.002221,0.004821,0.00533,0.01585
11,40,0.002014,0.001807,0.009107,0.002785,0.004243,0.003062,0.002279,0.00322,0.002752,0.019994
11,40,0.002204,0.001708,0.007804,0.002586,0.002087,0.00182,0.003999,0.004549,0.004171,0.013226
11,40,0.003909,0.003617,0.010157,0.00164,0.002427,0.001385,0.002435,0.004057,0.003747,0.016487
11,40,0.002152,0.001483,0.009958,0.002751,0.005709,0.002042,0.002307,0.002954,0.002637,0.021317
11,40,0.001961,0.001746,0.006739,0.001639,0.002335,0.005221,0.005281,0.00329,0.002258,0.019501
11,40,0.002428,0.001921,0.009092,0.0019,0.002238,0.001519,0.002386,0.007108,0.002278,0.016986
11,40,0.005125,0.002599,0.009242,0.001809,0.002204,0.00143,0.005544,0.003251,0.003373,0.014241
11,60,0.005338,0.004073,0.009306,0.001857,0.002335,0.00176,0.005431,0.003963,0.004773,0.01271
11,60,0.003015,0.003444,0.010176,0.001722,0.003119,0.001683,0.002423,0.002976,0.003939,0.018784
11,60,0.002247,0.001854,0.008208,0.001721,0.002234,0.003095,0.003778,0.005244,0.00305,0.013534
11,60,0.005282,0.003596,0.010475,0.001612,0.002418,0.00125,0.002315,0.004746,0.003087,0.016995
11,60,0.002523,0.001707,0.007545,0.002658,0.004427,0.002093,0.003219,0.00298,0.002641,0.019827
11,60,0.002321,0.001545,0.007541,0.001641,0.002558,0.003058,0.002965,0.004666,0.002677,0.014126
11,60,0.005736,0.002928,0.010583,0.001689,0.002229,0.001475,0.002288,0.004674,0.003366,0.016932
11,60,0.002023,0.001485,0.007815,0.003923,0.003518,0.003007,0.002419,0.002936,0.002485,0.019327
11,60,0.002729,0.001907,0.008436,0.002627,0.002084,0.001654,0.00252,0.005582,0.002637,0.014719
11,60,0.005035,0.003232,0.010052,0.001667,0.002418,0.001536,0.00242,0.004705,0.002933,0.016873
11,80,0.00208,0.001434,0.006798,0.004298,0.003953,0.002941,0.002526,0.003035,0.002644,0.018276
11,80,0.002581,0.001697,0.008574,0.003083,0.002443,0.001526,0.004455,0.002968,0.005093,0.013687
11,80,0.005069,0.003388,0.010127,0.001583,0.002542,0.00151,0.002202,0.004379,0.003788,0.015675
11,80,0.002032,0.001648,0.006239,0.00176,0.003933,0.003418,0.004443,0.003439,0.002271,0.016581
11,80,0.004659,0.003229,0.007548,0.002347,0.00302,0.001593,0.005085,0.005159,0.004627,0.012768
11,80,0.003202,0.003318,0.010252,0.001612,0.003252,0.001558,0.002298,0.002925,0.003353,0.018999
11,80,0.003172,0.002383,0.00628,0.002537,0.004234,0.003491,0.003992,0.00319,0.002503,0.017106
11,80,0.003604,0.002526,0.007685,0.002881,0.00227,0.001521,0.0036,0.003559,0.004898,0.012798
11,80,0.00215,0.002486,0.010494,0.001709,0.004622,0.001706,0.002328,0.002835,0.004971,0.017994
