BA,1,0,2,0.004376,0.004192,0.000127
KCRDK,1,0,1,0.002315,0.001722,0.000443
BA,1,0,2,0.003573,0.003318,0.000188
KCRDK,1,0,1,0.003089,0.002244,0.000577
BA,1,0,2,0.003468,0.00316,0.000246
KCRDK,1,0,1,0.004996,0.003705,0.00099
BA,1,0,2,0.002501,0.002319,0.000137
KCRDK,1,0,1,0.001518,0.001115,0.000275
BA,1,0,2,0.003607,0.003442,0.000103
KCRDK,1,0,1,0.001958,0.001454,0.000383
BA,1,0,2,0.004867,0.004495,0.000259
KCRDK,1,0,1,0.001606,0.0013,0.000229
BA,1,0,2,0.005271,0.004869,0.000304
KCRDK,1,0,1,0.002098,0.001568,0.000404
BA,1,0,2,0.002849,0.002565,0.000215
KCRDK,1,0,1,0.002316,0.001748,0.000412
BA,1,0,2,0.002148,0.001945,0.000159
KCRDK,1,0,1,0.002862,0.002152,0.000554
BA,1,0,2,0.003501,0.003239,0.000169
KCRDK,1,0,1,0.001651,0.001272,0.000299
BA,1,20,2,0.002047,0.001869,0.000141
KCRDK,1,20,1,0.003832,0.003186,0.000348
BA,1,20,2,0.002753,0.002603,0.000104
KCRDK,1,20,1,0.004102,0.003268,0.000622
BA,1,20,2,0.002637,0.002458,0.000144
KCRDK,1,20,1,0.001714,0.001233,0.000347
BA,1,20,2,0.004864,0.004524,0.00017
KCRDK,1,20,1,0.001428,0.001077,0.000264
BA,1,20,2,0.007077,0.006661,0.000321
KCRDK,1,20,1,0.001714,0.001237,0.000354
BA,1,20,2,0.004783,0.004305,0.000362
KCRDK,1,20,1,0.00168,0.001337,0.000233
BA,1,20,2,0.002635,0.002424,0.00017
KCRDK,1,20,1,0.001439,0.001105,0.000237
BA,1,20,2,0.002273,0.002119,0.000116
KCRDK,1,20,1,0.003119,0.002395,0.000557
BA,1,20,2,0.002233,0.002091,0.000107
KCRDK,1,20,1,0.005457,0.004171,0.000954
BA,1,20,2,0.002041,0.001911,9.3e-05
KCRDK,1,20,1,0.001382,0.001065,0.000242
BA,1,40,2,0.004021,0.003748,0.000191
KCRDK,1,40,1,0.001359,0.001053,0.000229
BA,1,40,2,0.007269,0.006806,0.000361
KCRDK,1,40,1,0.001509,0.00121,0.000225
BA,1,40,2,0.005271,0.004984,0.000199
KCRDK,1,40,1,0.001912,0.00147,0.000312
BA,1,40,2,0.002557,0.002364,0.000153
KCRDK,1,40,1,0.001821,0.001352,0.000353
BA,1,40,2,0.002288,0.002144,0.000107
KCRDK,1,40,1,0.003233,0.002628,0.0004
BA,1,40,2,0.002479,0.002294,0.000149
KCRDK,1,40,1,0.005163,0.004321,0.000676
BA,1,40,2,0.002807,0.002657,0.000114
KCRDK,1,40,1,0.00574,0.00473,0.00078
BA,1,40,2,0.002529,0.002396,9.3e-05
KCRDK,1,40,1,0.002488,0.001562,0.000781
BA,1,40,2,0.002492,0.002346,0.000102
KCRDK,1,40,1,0.001659,0.001266,0.000293
BA,1,40,2,0.005518,0.005246,0.000163
KCRDK,1,40,1,0.00155,0.001136,0.000318
BA,1,60,2,0.003422,0.003111,0.000222
KCRDK,1,60,1,0.001675,0.001295,0.000264
BA,1,60,2,0.002327,0.002159,0.00013
KCRDK,1,60,1,0.003738,0.003062,0.000402
BA,1,60,2,0.002398,0.002264,9.5e-05
KCRDK,1,60,1,0.003814,0.002995,0.000609
BA,1,60,2,0.002851,0.002664,0.000135
KCRDK,1,60,1,0.002324,0.001655,0.000484
BA,1,60,2,0.00335,0.003152,0.000102
KCRDK,1,60,1,0.001698,0.001299,0.000304
BA,1,60,2,0.005761,0.005491,0.000183
KCRDK,1,60,1,0.001597,0.001135,0.000338
BA,1,60,2,0.002059,0.00193,9.2e-05
KCRDK,1,60,1,0.002706,0.002119,0.000403
BA,1,60,2,0.002338,0.002213,9e-05
KCRDK,1,60,1,0.003654,0.003009,0.00043
BA,1,60,2,0.002118,0.001966,0.000115
KCRDK,1,60,1,0.001606,0.001159,0.000336
BA,1,60,2,0.005194,0.004766,0.000336
KCRDK,1,60,1,0.00164,0.001313,0.000233
BA,1,80,2,0.004354,0.004138,0.000149
KCRDK,1,80,1,0.001805,0.001438,0.00028
BA,1,80,2,0.002583,0.002403,0.00014
KCRDK,1,80,1,0.001912,0.001494,0.000248
BA,1,80,2,0.002586,0.00238,0.000168
KCRDK,1,80,1,0.004151,0.003291,0.000664
BA,1,80,2,0.002651,0.002445,0.000158
KCRDK,1,80,1,0.00187,0.001422,0.000317
BA,1,80,2,0.003823,0.003544,0.000194
KCRDK,1,80,1,0.001378,0.001073,0.000228
BA,1,80,2,0.005838,0.005542,0.000212
KCRDK,1,80,1,0.001428,0.001094,0.000258
BA,1,80,2,0.002479,0.002334,9.6e-05
KCRDK,1,80,1,0.001524,0.001199,0.000233
BA,1,80,2,0.002341,0.002205,0.000101
KCRDK,1,80,1,0.003746,0.002798,0.0007
BA,1,80,2,0.002618,0.002432,0.000148
KCRDK,1,80,1,0.001768,0.001212,0.000435
BA,1,80,2,0.003687,0.003548,9.7e-05
KCRDK,1,80,1,0.001431,0.001066,0.000272
BA,1,100,2,0.005459,0.004931,0.000347
KCRDK,1,100,1,0.001544,0.001183,0.000286
BA,1,100,2,0.002459,0.002251,0.000148
KCRDK,1,100,1,0.00226,0.001894,0.000269
BA,1,100,2,0.002348,0.00222,9.4e-05
KCRDK,1,100,1,0.00312,0.002296,0.000648
BA,1,100,2,0.003573,0.003368,0.000149
KCRDK,1,100,1,0.003767,0.002848,0.000703
BA,1,100,2,0.002862,0.002687,0.000132
KCRDK,1,100,1,0.001601,0.001184,0.000309
BA,1,100,2,0.006572,0.006255,0.000213
KCRDK,1,100,1,0.001664,0.001326,0.00024
BA,1,100,2,0.005029,0.004549,0.000349
