Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCHOG, time_subproblem_KCHOG, time_master_KCHOGL, time_subproblem_KCHOGL
1,100,2,600,0.025776,0.00051,0.004358,0.000181,0.005001,0.000232,0.006665,0.003081,0.00752,0.001011,0.009555,0.000428,0.007532,0.000326,0.009,0.001501,0.006709,0.000754
21,100,2,600,0.435112,0.069193,0.0243,0.007887,0.023581,0.008211,0.011145,0.009936,0.011195,0.008993,0.009294,0.007677,0.010248,0.007717,0.009657,0.010557,0.009959,0.009749
41,100,2,600,0.273092,0.20692,0.066312,0.029889,0.06383,0.030253,0.02165,0.032188,0.021709,0.031856,0.021711,0.028589,0.022301,0.02901,0.02122,0.03273,0.021326,0.031065
61,100,2,600,0.266436,0.416831,0.144116,0.061845,0.142598,0.062531,0.039454,0.066864,0.039587,0.065883,0.038999,0.060719,0.039898,0.061,0.039099,0.066668,0.039024,0.066489
81,100,2,600,0.284483,0.722081,0.221807,0.10614,0.220388,0.106611,0.063521,0.113204,0.063517,0.11165,0.063252,0.105563,0.063928,0.106043,0.063463,0.11497,0.063052,0.111296
101,100,2,600,0.337935,1.1845,0.308059,0.164351,0.305822,0.163808,0.093495,0.172098,0.094621,0.169881,0.093099,0.164428,0.093576,0.162613,0.092777,0.172786,0.093302,0.170325
1,100,2,600,0.027263,0.000529,0.003892,0.000198,0.003791,0.000198,0.010048,0.001842,0.009674,0.001241,0.008135,0.000396,0.009347,0.000353,0.008087,0.001874,0.008192,0.00127
21,100,2,600,0.739808,0.083713,0.017735,0.007874,0.017246,0.00808,0.009504,0.010633,0.009478,0.009673,0.010532,0.007595,0.011745,0.007965,0.008834,0.012775,0.008895,0.010682
41,100,2,600,0.612223,0.266519,0.053284,0.029124,0.052347,0.029482,0.021641,0.032845,0.022278,0.032611,0.021143,0.028414,0.02228,0.028855,0.020951,0.033187,0.02133,0.031302
61,100,2,600,0.718588,0.587302,0.125478,0.061457,0.119976,0.061763,0.038881,0.068339,0.038856,0.064979,0.03866,0.061196,0.039397,0.060543,0.039905,0.068649,0.038834,0.066121
81,100,2,600,0.649495,0.963835,0.217828,0.106571,0.218872,0.106477,0.063213,0.113427,0.062999,0.111973,0.062643,0.105144,0.063882,0.105703,0.062981,0.114285,0.062776,0.111503
101,100,2,600,0.821487,1.64285,0.281206,0.163127,0.277494,0.162048,0.093619,0.174889,0.090565,0.171342,0.092515,0.162117,0.093881,0.160811,0.092722,0.173153,0.092461,0.170152
