Gamma, tau, nb_path_to_select, limit_number_paths, time_master_BA, time_subproblem_BA, time_master_BAN, time_subproblem_BAN, time_master_BAUD, time_subproblem_BAUD, time_master_KCA, time_subproblem_KCA, time_master_KCF, time_subproblem_KCF, time_master_KCRDK, time_subproblem_KCRDK, time_master_KCRDKL, time_subproblem_KCRDKL, time_master_KCU, time_subproblem_KCU, time_master_KCUD, time_subproblem_KCUD, time_master_KCOG, time_subproblem_KCOG, time_master_KCOGL, time_subproblem_KCOGL
1,90,2,600,0.34892,0.000948,0.170842,0.000259,0.106702,0.000171,0.07397,0.000437,0.082802,0.000461,0.053027,0.002106,0.056491,0.001109,0.056073,0.000338,0.058897,0.000342,0.056416,0.001473,0.05779,0.001239
21,90,2,600,0.639171,0.039506,0.679722,0.019851,0.322391,0.015121,1.08543,0.023189,0.851815,0.025622,0.519484,0.062482,0.318315,0.053589,0.224811,0.044509,0.08525,0.014151,0.235444,0.048491,0.362942,0.051801
41,90,2,600,1.04636,0.181115,0.7846,0.077062,0.138257,0.029809,2.49292,0.050223,1.9458,0.055795,0.085913,0.051423,0.081933,0.050733,0.079701,0.046661,0.111811,0.048805,0.082359,0.052228,0.089739,0.049461
61,90,2,600,0.686593,0.285751,0.753983,0.153635,0.203311,0.056872,6.98478,0.106667,4.3576,0.105084,0.118349,0.107549,0.116017,0.107417,0.119011,0.102034,0.146966,0.09907,0.112068,0.103541,0.106395,0.103017
81,90,2,600,0.977349,0.636628,1.16388,0.30955,0.265574,0.129004,7.66948,0.182831,8.65056,0.189989,0.152692,0.182105,0.146556,0.181936,0.167093,0.215218,0.171739,0.171518,0.145537,0.175753,0.143144,0.176401
101,90,2,600,0.638296,0.758838,0.699541,0.377682,0.278489,0.192403,19.1219,0.275909,10.6178,0.280287,0.208858,0.282651,0.198475,0.275991,0.194334,0.256737,0.226065,0.254164,0.198329,0.268935,0.250519,0.271149
1,90,2,600,0.039515,0.000226,0.049164,0.000163,0.04971,0.000145,0.04151,0.000223,0.040207,0.000239,0.028224,0.001002,0.033523,0.000523,0.032134,0.000162,0.036664,0.000213,0.042429,0.001114,0.032316,0.000749
21,90,2,600,0.089434,0.014772,0.108788,0.009511,0.154456,0.008809,0.27019,0.009505,0.234041,0.009369,0.06348,0.016193,0.063505,0.014899,0.063374,0.01409,0.05043,0.009088,0.056938,0.017319,0.067775,0.016992
41,90,2,600,0.102139,0.054696,0.100031,0.028145,0.126017,0.02683,0.926517,0.03145,0.949254,0.031033,0.079895,0.056309,0.080199,0.050357,0.073549,0.046424,0.098014,0.047063,0.074764,0.052894,0.086337,0.052717
61,90,2,600,0.08925,0.11132,0.09414,0.053035,0.16587,0.057062,3.35271,0.068181,3.31587,0.071031,0.175611,0.130655,0.186137,0.129073,0.142315,0.103687,0.226986,0.119746,0.126705,0.119878,0.102825,0.10653
81,90,2,600,0.09071,0.189031,0.136611,0.102533,0.236925,0.106275,6.84678,0.125004,4.31032,0.120473,0.146129,0.183386,0.141327,0.177813,0.212493,0.202303,0.117443,0.109075,0.141831,0.181409,0.143889,0.172371
101,90,2,600,0.105271,0.299266,0.097609,0.139851,0.157763,0.14133,7.24269,0.185521,11.2964,0.17358,0.195873,0.28174,0.189998,0.273443,0.186154,0.259849,0.147566,0.162061,0.189197,0.27325,0.186328,0.274663
1,90,2,600,0.084081,0.000366,0.086409,0.00022,0.083446,0.000262,0.055531,0.000312,0.058307,0.000395,0.064648,0.001879,0.04689,0.000793,0.05412,0.000364,0.053755,0.000368,0.045157,0.001779,0.048933,0.001104
21,90,2,600,0.087121,0.015537,0.095252,0.007998,0.115217,0.008306,0.495716,0.014503,0.504413,0.015754,0.061324,0.016066,0.063105,0.015181,0.057722,0.014243,0.07143,0.014938,0.058223,0.018128,0.071481,0.015838
41,90,2,600,0.085501,0.056339,0.084437,0.026485,0.103645,0.027413,2.23123,0.052543,1.70616,0.051414,0.084367,0.05153,0.076156,0.048992,0.076006,0.048837,0.105709,0.050343,0.07758,0.049206,0.077982,0.050834
61,90,2,600,0.081073,0.104924,0.081901,0.053079,0.127116,0.054847,4.5706,0.102598,4.55589,0.102557,0.11209,0.108521,0.105075,0.104334,0.100919,0.101155,0.127078,0.09907,0.103072,0.104725,0.101871,0.102398
81,90,2,600,0.081502,0.187371,0.077354,0.093456,0.131005,0.09418,5.50169,0.176778,8.4951,0.182191,0.151426,0.180015,0.140497,0.180919,0.13991,0.175367,0.166623,0.170664,0.144084,0.17848,0.136595,0.175414
101,90,2,600,0.076036,0.283709,0.087125,0.144967,0.109614,0.144729,9.87612,0.281076,11.0599,0.266824,0.195254,0.284287,0.186767,0.276955,0.25861,0.279038,0.211332,0.260075,0.184061,0.277321,0.18076,0.267288
1,90,2,600,0.041219,0.000208,0.057284,0.000127,0.05635,0.000116,0.048879,0.000264,0.039009,0.000224,0.03142,0.000916,0.029778,0.000589,0.038367,0.000224,0.039596,0.000228,0.0394,0.001285,0.032831,0.000661
21,90,2,600,0.106821,0.019392,0.101632,0.010573,0.171311,0.008851,0.235695,0.010995,0.244913,0.010523,0.059105,0.015405,0.06822,0.015324,0.056006,0.013915,0.086181,0.014724,0.063779,0.016407,0.056777,0.015518
41,90,2,600,0.093829,0.052858,0.106727,0.026469,0.120513,0.026838,0.826204,0.032736,0.840513,0.033154,0.073167,0.052323,0.081871,0.05178,0.072119,0.047109,0.084939,0.047539,0.078236,0.049095,0.074311,0.049266
61,90,2,600,0.088659,0.110427,0.096896,0.058404,0.158461,0.056217,2.96986,0.069159,1.50847,0.068995,0.110372,0.104835,0.101463,0.1019,0.107203,0.099535,0.124578,0.098321,0.110074,0.102843,0.100416,0.103395
81,90,2,600,0.094219,0.184032,0.10033,0.096701,0.159675,0.097659,3.12044,0.118487,2.27298,0.116833,0.149381,0.189668,0.141263,0.181373,0.137895,0.170283,0.162856,0.169993,0.137666,0.177761,0.14385,0.177909
101,90,2,600,0.09533,0.287273,0.104814,0.14684,0.139002,0.142236,6.81618,0.201388,3.9752,0.184475,0.20872,0.278906,0.190863,0.28014,0.191585,0.304055,0.200696,0.258029,0.184476,0.265331,0.18885,0.274247
1,90,2,600,0.082641,0.00041,0.088639,0.000195,0.092007,0.00024,0.064755,0.000353,0.052125,0.000355,0.050679,0.001436,0.046612,0.000959,0.048478,0.000297,0.053289,0.000331,0.044463,0.001653,0.050495,0.001058
21,90,2,600,3.21309,0.082871,2.44357,0.039092,5.96194,0.043709,0.535544,0.014206,0.486043,0.015301,0.334913,0.061848,0.349177,0.058779,0.327723,0.050838,0.139875,0.021896,0.357797,0.063667,0.344104,0.065169
41,90,2,600,2.46561,0.246731,2.70044,0.133317,5.69477,0.137419,1.5738,0.059342,1.49847,0.048205,0.374926,0.16019,0.379566,0.157699,0.39252,0.155183,0.197532,0.085484,0.37332,0.165794,0.378801,0.166482
61,90,2,600,2.4641,0.562895,2.61976,0.251473,4.57189,0.244944,4.27797,0.104293,3.1487,0.104329,0.662327,0.445643,0.585327,0.405805,0.762456,0.430069,0.24724,0.174136,0.668452,0.442809,0.587115,0.405201
81,90,2,600,2.74025,0.863334,3.12837,0.477834,4.64086,0.413655,7.22914,0.183359,7.34427,0.17425,0.66862,0.643726,0.766335,0.698569,0.64469,0.604752,0.304397,0.297532,0.715727,0.63743,0.638328,0.636179
101,90,2,600,2.61824,1.21891,2.91384,0.635156,4.51521,0.623041,11.1859,0.301746,8.73755,0.276636,0.783423,0.910893,0.722101,0.861067,0.724922,0.823081,0.375574,0.44998,0.739215,0.921228,0.7351,0.865951
1,90,2,600,0.125595,0.000603,0.13977,0.000334,0.101338,0.00021,0.036796,0.000269,0.045545,0.00023,0.085156,0.00208,0.086903,0.00166,0.075277,0.000545,0.064905,0.000355,0.075072,0.002073,0.084275,0.001591
21,90,2,600,1.26047,0.071998,1.51528,0.037316,3.00467,0.041592,0.582672,0.016392,0.438797,0.01512,0.365501,0.068867,0.364834,0.067278,0.362587,0.059742,0.131098,0.021206,0.360118,0.069442,0.374221,0.065945
41,90,2,600,3.14426,0.289556,3.5993,0.180239,2.08534,0.113595,1.41308,0.05076,1.37637,0.050305,0.636381,0.251214,0.658676,0.255386,0.650197,0.253235,0.146852,0.065675,0.713749,0.280609,0.644886,0.264796
61,90,2,600,1.25552,0.486667,1.49034,0.250138,2.13185,0.227203,3.85906,0.103909,3.12286,0.106271,0.624846,0.443547,0.647371,0.44307,0.686625,0.448748,0.127663,0.100132,0.635639,0.449519,0.634062,0.4438
81,90,2,600,1.49134,0.863844,1.74385,0.453201,1.88597,0.351908,8.47602,0.281964,6.33503,0.20426,0.869272,0.839706,0.910243,0.820487,0.872213,0.786511,0.161636,0.171398,0.851131,0.828364,0.851344,0.824029
101,90,2,600,1.35168,1.23456,1.69839,0.627384,2.54741,0.616057,12.9164,0.284218,10.4872,0.281762,1.06388,1.26108,1.08744,1.26624,1.05666,1.21927,0.20569,0.257069,1.14644,1.25419,1.04105,1.25866
1,90,2,600,0.135791,0.000512,0.150283,0.000403,0.113932,0.000189,0.040202,0.000207,0.042265,0.000255,0.076045,0.001896,0.084126,0.001502,0.085346,0.000468,0.061003,0.000278,0.080824,0.002055,0.076601,0.001476
21,90,2,600,1.81588,0.0647,2.12825,0.037332,3.54203,0.033576,0.459037,0.016267,0.442836,0.014772,0.303337,0.048621,0.30652,0.044817,0.321191,0.041936,0.305895,0.037916,0.323163,0.049725,0.310242,0.047633
41,90,2,600,1.95562,0.223411,2.25751,0.122684,3.55397,0.110902,1.81302,0.050305,1.53828,0.050075,0.381441,0.147906,0.527611,0.148768,0.382294,0.137421,0.366641,0.121175,0.383398,0.149245,0.396104,0.153352
61,90,2,600,2.41593,0.516113,2.6973,0.267217,4.51029,0.24551,4.45941,0.109702,3.62215,0.108868,0.524906,0.346578,0.527302,0.332859,0.495751,0.314605,0.417579,0.239085,0.505927,0.325573,0.496358,0.329066
81,90,2,600,2.43344,0.902379,2.62436,0.458665,5.22802,0.458366,7.60146,0.185423,6.84716,0.181723,0.847794,0.691527,0.812382,0.62195,0.694634,0.609328,0.410472,0.355532,0.848679,0.705385,0.722772,0.635143
101,90,2,600,3.10124,1.38771,3.82711,0.723702,8.98444,0.76291,11.8784,0.281867,8.2106,0.278744,1.30647,0.983271,1.03757,0.944392,1.01485,0.907866,0.633,0.561863,1.19837,0.966101,1.19907,0.967906
1,90,2,600,0.140689,0.00047,0.188987,0.000377,0.233292,0.000268,0.142923,0.000516,0.095706,0.000511,0.073331,0.001834,0.106567,0.001441,0.129373,0.000495,0.113407,0.000409,0.08851,0.002311,0.08568,0.001186
21,90,2,600,1.46413,0.05381,0.902036,0.024188,1.33595,0.016562,0.769281,0.015187,0.521201,0.014905,0.060336,0.016414,0.059567,0.016663,0.06176,0.015306,0.159956,0.027104,0.063458,0.016448,0.056618,0.01557
41,90,2,600,0.750998,0.145345,0.827952,0.078652,0.847756,0.042683,3.23437,0.052802,1.93498,0.052269,0.082735,0.051763,0.08469,0.051211,0.075019,0.047317,0.159244,0.065899,0.078285,0.052416,0.081,0.050795
61,90,2,600,0.85696,0.283548,0.773043,0.128293,0.650737,0.095998,5.4837,0.108064,4.87585,0.106135,0.113946,0.115032,0.110202,0.108387,0.106223,0.100481,0.143526,0.099194,0.11101,0.108359,0.100906,0.101896
